"","Actitis_hypoleucos","Alca_torda","Anas_acuta","Anas_clypeata","Anas_crecca","Anas_penelope","Anas_platyrhynchos","Anas_querquedula","Anas_strepera","Anser_albifrons","Anser_anser","Anser_brachyrhynchus","Anser_fabalis","Ardea_cinerea","Ardea_purpurea","Arenaria_interpres","Aythya_ferina","Aythya_fuligula","Botaurus_stellaris","Branta_bernicla","Branta_canadensis","Branta_leucopsis","Bucephala_clangula","Calidris_alba","Calidris_alpina","Calidris_canutus","Calidris_ferruginea","Calidris_minuta","Cepphus_grylle","Charadrius_alexandrinus","Charadrius_dubius","Charadrius_hiaticula","Chlidonias_niger","Ciconia_ciconia","Cygnus_columbianus","Cygnus_cygnus","Cygnus_olor","Fulica_atra","Gallinago_gallinago","Gallinula_chloropus","Grus_grus","Haematopus_ostralegus","Hydroprogne_caspia","Larus_argentatus","Larus_canus","Larus_fuscus","Larus_marinus","Larus_melanocephalus","Larus_ridibundus","Limosa_lapponica","Limosa_limosa","Lymnocryptes_minimus","Mergus_merganser","Mergus_serrator","Morus_bassanus","Numenius_arquata","Numenius_phaeopus","Nycticorax_nycticorax","Phalacrocorax_aristotelis","Phalacrocorax_carbo","Philomachus_pugnax","Platalea_leucorodia","Pluvialis_apricaria","Pluvialis_squatarola","Podiceps_cristatus","Rallus_aquaticus","Recurvirostra_avosetta","Rissa_tridactyla","Scolopax_rusticola","Somateria_mollissima","Stercorarius_skua","Sterna_hirundo","Sterna_paradisaea","Sternula_albifrons","Tachybaptus_ruficollis","Tadorna_tadorna","Thalasseus_sandvicensis","Tringa_erythropus","Tringa_glareola","Tringa_nebularia","Tringa_ochropus","Tringa_totanus","Uria_aalge","Vanellus_vanellus"
"Pluvialis_squatarola",0.188815358181029,0.188815358181029,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.188815358181029,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.106364199476468,0.106364199476468,0.106364199476468,0.188815358181029,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.188815358181029,0.202932330014311,0.202932330014311,0.106364199476468,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.229098053156314,0.229098053156314,0.202932330014311,0.188815358181029,0.188815358181029,0.202932330014311,0.202932330014311,0.202932330014311,0.188815358181029,0.202932330014311,0.0234930267580429,0,0.21634829158786,0.202932330014311,0.106364199476468,0.188815358181029,0.188815358181029,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.21634829158786,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.106364199476468
"Podiceps_cristatus",0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.0234930267580429,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786
"Rallus_aquaticus",0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.141882419803122,0.202932330014311,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.045819453980146,0.202932330014311,0.045819453980146,0.067037211812615,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.229098053156314,0.141882419803122,0.202932330014311,0.202932330014311,0.141882419803122,0.141882419803122,0.141882419803122,0.202932330014311,0.141882419803122,0.202932330014311,0.202932330014311,0.21634829158786,0,0.202932330014311,0.202932330014311,0.202932330014311,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.21634829158786,0.229098053156314,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311,0.202932330014311
"Recurvirostra_avosetta",0.188815358181029,0.188815358181029,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.188815358181029,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.0872013537489303,0.0872013537489303,0.0872013537489303,0.188815358181029,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.188815358181029,0.202932330014311,0.202932330014311,0.0234930267580429,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.229098053156314,0.229098053156314,0.202932330014311,0.188815358181029,0.188815358181029,0.202932330014311,0.202932330014311,0.202932330014311,0.188815358181029,0.202932330014311,0.106364199476468,0.106364199476468,0.21634829158786,0.202932330014311,0,0.188815358181029,0.188815358181029,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.21634829158786,0.229098053156314,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.188815358181029,0.0872013537489303
"Rissa_tridactyla",0.173960746929413,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029,0.188815358181029,0.188815358181029,0.124575470629846,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.124575470629846,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0,0.173960746929413,0.229098053156314,0.141882419803122,0.124575470629846,0.124575470629846,0.124575470629846,0.21634829158786,0.229098053156314,0.124575470629846,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029
"Scolopax_rusticola",0.124575470629846,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.0234930267580429,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.045819453980146,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.124575470629846,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.188815358181029
"Somateria_mollissima",0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.124575470629846,0.124575470629846,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.067037211812615,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Stercorarius_skua",0.173960746929413,0.067037211812615,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.067037211812615,0.188815358181029,0.188815358181029,0.188815358181029,0.141882419803122,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.141882419803122,0.173960746929413,0.229098053156314,0,0.141882419803122,0.141882419803122,0.141882419803122,0.21634829158786,0.229098053156314,0.141882419803122,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.067037211812615,0.188815358181029
"Sterna_hirundo",0.173960746929413,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029,0.188815358181029,0.188815358181029,0.067037211812615,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.0872013537489303,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.124575470629846,0.173960746929413,0.229098053156314,0.141882419803122,0,0.0234930267580429,0.106364199476468,0.21634829158786,0.229098053156314,0.045819453980146,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029
"Sterna_paradisaea",0.173960746929413,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029,0.188815358181029,0.188815358181029,0.067037211812615,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.0872013537489303,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.124575470629846,0.173960746929413,0.229098053156314,0.141882419803122,0.0234930267580429,0,0.106364199476468,0.21634829158786,0.229098053156314,0.045819453980146,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029
"Sternula_albifrons",0.173960746929413,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029,0.188815358181029,0.188815358181029,0.106364199476468,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.106364199476468,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.124575470629846,0.173960746929413,0.229098053156314,0.141882419803122,0.106364199476468,0.106364199476468,0,0.21634829158786,0.229098053156314,0.106364199476468,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029
"Tachybaptus_ruficollis",0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.0234930267580429,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0,0.229098053156314,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786,0.21634829158786
"Tadorna_tadorna",0.229098053156314,0.229098053156314,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.141882419803122,0.158329953155609,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.141882419803122,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.158329953155609,0.158329953155609,0.158329953155609,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314
"Thalasseus_sandvicensis",0.173960746929413,0.141882419803122,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029,0.188815358181029,0.188815358181029,0.067037211812615,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.202932330014311,0.202932330014311,0.188815358181029,0.0872013537489303,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.124575470629846,0.173960746929413,0.173960746929413,0.173960746929413,0.229098053156314,0.229098053156314,0.202932330014311,0.173960746929413,0.173960746929413,0.202932330014311,0.202932330014311,0.202932330014311,0.173960746929413,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.124575470629846,0.173960746929413,0.229098053156314,0.141882419803122,0.045819453980146,0.045819453980146,0.106364199476468,0.21634829158786,0.229098053156314,0,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.188815358181029
"Tringa_erythropus",0.0872013537489303,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0,0.045819453980146,0.0234930267580429,0.067037211812615,0.0234930267580429,0.173960746929413,0.188815358181029
"Tringa_glareola",0.0872013537489303,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.045819453980146,0,0.045819453980146,0.067037211812615,0.045819453980146,0.173960746929413,0.188815358181029
"Tringa_nebularia",0.0872013537489303,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.0234930267580429,0.045819453980146,0,0.067037211812615,0.0234930267580429,0.173960746929413,0.188815358181029
"Tringa_ochropus",0.0872013537489303,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.067037211812615,0.067037211812615,0.067037211812615,0,0.067037211812615,0.173960746929413,0.188815358181029
"Tringa_totanus",0.0872013537489303,0.173960746929413,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.202932330014311,0.106364199476468,0.229098053156314,0.229098053156314,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.229098053156314,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.106364199476468,0.173960746929413,0.188815358181029,0.188815358181029,0.188815358181029,0.173960746929413,0.202932330014311,0.229098053156314,0.229098053156314,0.229098053156314,0.202932330014311,0.124575470629846,0.202932330014311,0.202932330014311,0.188815358181029,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.141882419803122,0.141882419803122,0.124575470629846,0.229098053156314,0.229098053156314,0.202932330014311,0.158329953155609,0.158329953155609,0.202932330014311,0.202932330014311,0.202932330014311,0.106364199476468,0.202932330014311,0.188815358181029,0.188815358181029,0.21634829158786,0.202932330014311,0.188815358181029,0.173960746929413,0.124575470629846,0.229098053156314,0.173960746929413,0.173960746929413,0.173960746929413,0.173960746929413,0.21634829158786,0.229098053156314,0.173960746929413,0.0234930267580429,0.045819453980146,0.0234930267580429,0.067037211812615,0,0.173960746929413,0.188815358181029
